onset	duration	trial_type	sub_type	electrodes_involved_onset	electrodes_involved_offset	offset	sample_start	sample_end	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	electrical_stimulation_frequency	electrical_stimulation_pulsewidth	notes
1070.5078125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1070.5088125	548100	548100.512	monophasic	sT7-sT8	0.007	0.2	0.001	n/a
1075.5078125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1075.5088125	550660	550660.512	monophasic	sT7-sT8	0.007	0.2	0.001	n/a
1080.5078125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1080.5088125	553220	553220.512	monophasic	sT7-sT8	0.007	0.2	0.001	n/a
1085.5078125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1085.5088125	555780	555780.512	monophasic	sT7-sT8	0.007	0.2	0.001	n/a
1090.5078125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1090.5088125	558340	558340.512	monophasic	sT7-sT8	0.007	0.2	0.001	n/a
1095.5078125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1095.5088125	560900	560900.512	monophasic	sT7-sT8	0.007	0.2	0.001	n/a
1109.7265625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1109.7275625	568180	568180.512	monophasic	OT1-OT2	0.007	0.2	0.001	n/a
1114.7265625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1114.7275625	570740	570740.512	monophasic	OT1-OT2	0.007	0.2	0.001	n/a
1119.7265625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1119.7275625	573300	573300.512	monophasic	OT1-OT2	0.007	0.2	0.001	n/a
1124.7265625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1124.7275625	575860	575860.512	monophasic	OT1-OT2	0.007	0.2	0.001	n/a
1129.7265625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1129.7275625	578420	578420.512	monophasic	OT1-OT2	0.007	0.2	0.001	n/a
1134.7265625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1134.7275625	580980	580980.512	monophasic	OT1-OT2	0.007	0.2	0.001	n/a
1139.7265625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1139.7275625	583540	583540.512	monophasic	OT1-OT2	0.007	0.2	0.001	n/a
1144.7265625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1144.7275625	586100	586100.512	monophasic	OT1-OT2	0.007	0.2	0.001	n/a
1149.7265625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1149.7275625	588660	588660.512	monophasic	OT1-OT2	0.007	0.2	0.001	n/a
1154.7265625	0.001	electrical_stimulation	SPESclin	n/a	n/a	1154.7275625	591220	591220.512	monophasic	OT1-OT2	0.007	0.2	0.001	n/a
1174.001953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1174.002953125	601089	601089.512	monophasic	OT3-OT2	0.007	0.2	0.001	n/a
1179.001953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1179.002953125	603649	603649.512	monophasic	OT3-OT2	0.007	0.2	0.001	n/a
1184.001953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1184.002953125	606209	606209.512	monophasic	OT3-OT2	0.007	0.2	0.001	n/a
1189.001953125	0.001	electrical_stimulation	SPESclin	n/a	n/a	1189.002953125	608769	608769.512	monophasic	OT3-OT2	0.007	0.2	0.001	n/a
